"job_schedule_type","job_count","avg_yearly_salary","avg_hourly_salary"
"Full-time","1","189750.000000000000",NULL
"Full-time","4","189500.000000000000",NULL
"Full-time","1","189309.000000000000",NULL
"Full-time","1","189297.000000000000",NULL
"Full-time","2","189276.000000000000",NULL
"Full-time","3","189162.500000000000",NULL
"Full-time","14","189000.000000000000",NULL
"Full-time","4","188675.000000000000",NULL
"Full-time","1","188602.500000000000",NULL
"Full-time","3","188000.000000000000",NULL
"Full-time","1","187875.000000000000",NULL
"Full-time","1","187804.500000000000",NULL
"Full-time","1","187663.000000000000",NULL
"Full-time","1","187625.000000000000",NULL
"Full-time","1","187536.000000000000",NULL
"Full-time","37","187500.000000000000",NULL
"Full-time and Temp work","1","187500.000000000000",NULL
"Full-time","4","187000.000000000000",NULL
"Full-time","1","186960.000000000000",NULL
"Full-time","1","186928.000000000000",NULL
"Full-time","1","186675.000000000000",NULL
"Full-time","13","186500.000000000000",NULL
"Full-time","1","186093.000000000000",NULL
"Full-time","12","186000.000000000000",NULL
"Full-time","1","185714.000000000000",NULL
"Full-time","1","185710.000000000000",NULL
"Full-time","16","185500.000000000000",NULL
"Full-time","67","185000.000000000000",NULL
"Full-time and Part-time","1","185000.000000000000",NULL
"Contractor","3","185000.000000000000",NULL
"Full-time","1","184878.000000000000",NULL
"Full-time","1","184875.000000000000",NULL
"Full-time","5","184844.500000000000",NULL
"Full-time","2","184839.453125000000",NULL
"Full-time","7","184500.000000000000",NULL
"Full-time and Part-time","6","184000.000000000000",NULL
"Full-time","8","184000.000000000000",NULL
"Full-time","2","183500.000000000000",NULL
"Full-time","3","183320.000000000000",NULL
"Full-time","5","183310.000000000000",NULL
"Full-time","1","183046.000000000000",NULL
"Full-time","7","183000.000000000000",NULL
"Full-time","1","182795.000000000000",NULL
"Full-time","1","182543.500000000000",NULL
"Full-time","33","182500.000000000000",NULL
"Full-time","2","182375.000000000000",NULL
"Full-time","2","182325.000000000000",NULL
"Full-time","1","182245.000000000000",NULL
"Full-time","16","182000.000000000000",NULL
"Full-time","1","181986.000000000000",NULL
"Full-time","1","181950.000000000000",NULL
"Full-time","1","181925.000000000000",NULL
"Full-time","1","181900.000000000000",NULL
"Full-time","1","181765.000000000000",NULL
"Full-time","1","181640.000000000000",NULL
"Full-time and Temp work","1","181500.000000000000",NULL
"Full-time","5","181500.000000000000",NULL
"Full-time","1","181425.000000000000",NULL
"Full-time","2","181177.500000000000",NULL
"Full-time","3","181022.500000000000",NULL
"Full-time","6","181000.000000000000",NULL
"Full-time","1","180675.000000000000",NULL
"Full-time","1","180560.000000000000",NULL
"Full-time and Part-time","2","180500.000000000000",NULL
"Full-time","6","180500.000000000000",NULL
"Full-time","1","180375.000000000000",NULL
"Full-time","1","180125.000000000000",NULL
"Full-time","129","180000.000000000000",NULL
"Contractor","1","180000.000000000000",NULL
